trade_date,block_code,stock_code,stock_name,market,zf
2026-04-08,885530,300139,晓程科技,33,16.828663998475314
2026-04-08,885530,301500,飞南资源,33,14.471847370870186
2026-04-08,886042,300475,香农芯创,33,20.003239390994494
2026-04-08,886042,688720,艾森股份,17,15.275918488769888
2026-04-08,885959,688655,迅捷兴,17,20.0
2026-04-08,885959,688630,芯碁微装,17,20.0
2026-04-08,886058,301070,开勒股份,33,20.000000000000004
2026-04-08,886058,300571,平治信息,33,19.993444772205827
2026-04-08,886044,688392,骄成超声,17,16.071428571428573
2026-04-08,886044,301018,申菱环境,33,15.830596761408678
2026-04-08,886069,300571,平治信息,33,19.993444772205827
2026-04-08,886069,300679,电连技术,33,19.98804899910367
2026-04-08,885756,300475,香农芯创,33,20.003239390994494
2026-04-08,885756,688630,芯碁微装,17,20.0
2026-04-08,885918,300058,蓝色光标,33,20.01471670345842
2026-04-08,885918,300571,平治信息,33,19.993444772205827
2026-04-08,886078,301232,飞沃科技,33,20.000000000000014
2026-04-08,886078,920021,流金科技,151,18.083961248654486
2026-04-08,886068,920021,流金科技,151,18.083961248654486
2026-04-08,886068,301171,易点天下,33,16.57524445504413
2026-04-07,885640,300927,江天化学,33,19.99212908303817
2026-04-07,885640,600596,新安股份,17,10.04784688995216
2026-04-07,885829,300927,江天化学,33,19.99212908303817
2026-04-07,885829,600623,华谊集团,17,10.011248593925746
2026-04-07,885398,002109,兴化股份,33,10.123456790123461
2026-04-07,885398,600227,赤天化,17,10.086455331412093
2026-04-07,885912,300821,东岳硅材,33,19.9820788530466
2026-04-07,885912,600596,新安股份,17,10.04784688995216
2026-04-07,885573,002840,华统股份,33,10.034013605442174
2026-04-07,885573,603477,巨星农牧,17,7.8455039227519645
2026-04-07,885967,600227,赤天化,17,10.086455331412093
2026-04-07,885967,000912,泸天化,33,10.02087682672233
2026-04-07,885959,301630,同宇新材,33,19.999999999999996
2026-04-07,885959,300936,中英科技,33,14.302364302364307
2026-04-07,885343,600259,中稀有色,17,10.006325110689433
2026-04-07,885343,301141,中科磁业,33,7.756813417190766
2026-04-07,885580,300651,金陵体育,33,19.999999999999996
2026-04-07,885580,605299,舒华体育,17,10.019083969465637
2026-04-07,885615,300651,金陵体育,33,19.999999999999996
2026-04-07,885615,301149,隆华新材,33,11.572438162544174
2026-04-03,886054,688146,中船特气,17,20.009372071227737
2026-04-03,886054,688195,腾景科技,17,19.224004502603083
2026-04-03,885998,688205,德科立,17,19.99902917334111
2026-04-03,885998,002792,通宇通讯,33,9.995147986414374
2026-04-03,886033,688226,威腾电气,17,20.000000000000007
2026-04-03,886033,300812,易天股份,33,20.0
2026-04-03,886084,688195,腾景科技,17,19.224004502603083
2026-04-03,886084,300620,光库科技,33,11.440995651521975
2026-04-03,886037,300608,思特奇,33,20.000000000000004
2026-04-03,886037,003007,直真科技,33,10.01248439450688
2026-04-03,886073,600869,远东股份,17,10.007047216349543
2026-04-03,886073,002792,通宇通讯,33,9.995147986414374
2026-04-03,886042,300666,江丰电子,33,10.066420664206632
2026-04-03,886042,605303,园林股份,17,10.030959752321989
2026-04-03,885959,300400,劲拓股份,33,13.638203156616745
2026-04-03,885959,300632,光莆股份,33,11.252511721366375
2026-04-03,885937,688028,沃尔德,17,6.8852459016393475
2026-04-03,885937,300179,四方达,33,3.482824427480918
2026-04-03,886044,600602,云赛智联,17,10.013531799729359
2026-04-03,886044,600869,远东股份,17,10.007047216349543
2026-04-02,885573,603477,巨星农牧,17,10.012919896640831
2026-04-02,885573,920970,大禹生物,151,7.401812688821756
2026-04-02,886015,300086,康芝药业,33,16.06096131301291
2026-04-02,886015,688336,三生国健,17,13.41448111431798
2026-04-02,886101,002265,建设工业,33,1.8582541054451154
2026-04-02,886101,601606,长城军工,17,0.945508833043052
2026-04-02,885792,600195,中牧股份,17,7.124010554089699
2026-04-02,885792,600158,中体产业,17,1.3111888111888144
2026-04-02,886084,688618,三旺通信,17,13.132567525613153
2026-04-02,886084,300667,必创科技,33,12.105926860025232
2026-04-02,885430,600339,中油工程,17,10.123456790123461
2026-04-02,885430,600644,乐山电力,17,10.008703220191473
2026-04-02,886033,688143,长盈通,17,10.415175375805296
2026-04-02,886033,601869,长飞光纤,17,7.951298701298704
2026-04-02,886032,300632,光莆股份,33,10.674573758339506
2026-04-02,886032,603778,国晟科技,17,6.036363636363636
2026-04-02,885939,300632,光莆股份,33,10.674573758339506
2026-04-02,885939,603122,合富中国,17,10.00588581518542
2026-04-02,885936,605162,新中港,17,10.023492560689125
2026-04-02,885936,600644,乐山电力,17,10.008703220191473
