trade_date,stock_code,stock_name,market,main_grey_capital,main_listed_capital,main_capital,retail_capital,turnover,change_pct,zf
2026-04-08,002195,岩山科技,33,612299041.4370974,178304049.0,790603090.4370974,-790603090.4370974,2700896300.0,22.67,6.171428571428562
2026-04-08,601179,中国西电,17,656621548.6050079,430258359.0,1086879907.605008,-1086879907.605008,3333149209.22,19.7,6.947227788911161
2026-04-08,300017,网宿科技,33,1114386322.4023595,305560500.0,1419946822.4023595,-1419946822.4023595,6286198000.0,17.73,14.766355140186922
2026-04-08,600396,华电辽能,17,347753380.12003845,-4833481.0,342919899.12003845,-342919899.12003845,2068217346.61,16.81,2.1276595744680873
2026-04-08,000592,平潭发展,33,629904202.053307,-66113269.7,563790932.353307,-563790932.353307,3954474300.0,15.93,2.23880597014925
2026-04-08,002400,省广集团,33,294083298.9351487,239395910.0,533479208.9351487,-533479208.9351487,1899793300.0,15.48,10.050251256281406
2026-04-08,600105,永鼎股份,17,766255503.9286101,933387921.0,1700134713.92861,-1700134713.92861,5002986718.18,15.32,9.99668983780204
2026-04-08,601138,工业富联,17,2112864306.4864712,2666885260.0,4779749566.486471,-4779749566.486471,13875060959.24,15.23,7.664511220996579
2026-04-08,300308,中际旭创,33,3741100584.3805113,2092998800.3,5834099384.680511,-5834099384.680511,26479883000.0,14.13,11.074524236114478
2026-04-08,002565,顺灏股份,33,633602804.7630523,227468431.0,861071235.7630523,-861071235.7630523,4570456600.0,13.86,7.303370786516865
2026-04-08,300058,蓝色光标,33,1246435483.1495748,1945121360.2,3191556843.349575,-3191556843.349575,9033534800.0,13.8,20.01471670345842
2026-04-08,300502,新易盛,33,3070806704.429429,1138370699.0,4209177403.429429,-4209177403.429429,22906043000.0,13.41,9.330717244386312
2026-04-08,002342,巨力索具,33,224813501.50147063,424942694.0,649756195.5014706,-649756195.5014706,1756142700.0,12.8,10.015527950310553
2026-04-08,000815,美利云,33,378143986.6526831,16387240.0,394531226.6526831,-394531226.6526831,2972729800.0,12.72,6.558237145855195
2026-04-08,600666,奥瑞德,17,143683808.82552585,498616680.0,642300488.8255259,-642300488.8255259,1137312727.0,12.63,9.983079526226732
2026-04-08,002261,拓维信息,33,580512651.6842499,224857639.8,805370291.4842498,-805370291.4842498,4860069700.0,11.94,7.068914522330672
2026-04-08,603601,再升科技,17,415115757.7772489,-162892883.0,252222874.77724892,-252222874.77724892,3879086040.29,10.7,3.558460421205521
2026-04-08,002639,雪人集团,33,327132878.63430125,-125904481.0,201228397.63430125,-201228397.63430125,3211703500.0,10.19,1.7518248175182454
2026-04-08,002131,利欧股份,33,372917764.131191,1714418856.5,2087336620.631191,-2087336620.631191,3743049700.0,9.96,9.958506224066385
2026-04-08,600410,华胜天成,17,726851763.3161521,722073810.0,1448925573.316152,-1448925573.316152,7325943886.07,9.92,8.828124999999991
2026-04-07,600010,包钢股份,17,1458230333.0265815,459416850.0,1917647183.0265815,-1917647183.0265815,3780326285.89,38.57,4.887218045112777
2026-04-07,600396,华电辽能,17,470648318.561231,-200957.0,470447361.561231,-470447361.561231,1827435318.78,25.75,6.214689265536716
2026-04-07,600759,洲际油气,17,582065949.721982,-107211944.0,474854005.721982,-474854005.721982,2282640341.14,25.5,1.0507880910682943
2026-04-07,605299,舒华体育,17,369414446.49947375,142997745.0,512412191.49947375,-512412191.49947375,1494872458.2,24.71,10.019083969465637
2026-04-07,601016,节能风电,17,492851942.2681068,69555058.0,562407000.2681068,-562407000.2681068,2318171613.29,21.26,6.036745406824147
2026-04-07,000078,海王生物,33,249239419.86964935,28127607.0,277367026.86964935,-277367026.86964935,1186719130.0,21.0,3.351955307262573
2026-04-07,600666,奥瑞德,17,626388102.9256594,-24144885.0,602243217.9256594,-602243217.9256594,3028026428.0,20.69,0.5102040816326573
2026-04-07,603122,合富中国,17,424134465.4375338,31275903.0,455410368.4375338,-455410368.4375338,2077213756.9,20.42,3.823237338629591
2026-04-07,600110,诺德股份,17,599974775.289048,795638970.0,1395613745.289048,-1395613745.289048,3363554724.87,17.84,10.057142857142868
2026-04-07,002506,协鑫集成,33,450754291.1366955,103386648.0,554140939.1366955,-554140939.1366955,2579668500.0,17.47,4.038004750593823
